ULUS10486,Ghostbusters: The Video Game
ULUS10488,Ben 10 Alien Force: Vilgax Attacks
ULUS10490,Grand Theft Auto: Chinatown Wars
ULUS10491,Half-Minute Hero
ULUS10492,Mimana Iyar Chronicle
ULUS10495,Metal Slug XX
ULUS10497,Iron Man 2
ULUS10500,LEGO Harry Potter: Years 1-4
ULUS10503,Major League Baseball 2K10
ULUS10504,2010 FIFA World Cup South Africa
ULUS10506,Hexyz Force
ULUS10509,Metal Gear Solid: Peace Walker
ULUS10511,Ace Combat Joint Assault
ULUS10512,Shin Megami Tensei: Persona 3 Portable
ULUS10513,Split/Second
ULUS10515,Valkyria Chronicles II
ULUS10519,BlazBlue: Calamity Trigger Portable
ULUS10521,Dead or Alive Paradise
ULUS10522,Disgaea Infinite
ULUS10527,Blazing Souls Accelate
ULUS10528,Gladiator Begins
ULUS10529,Phantasy Star Portable 2
ULUS10531,LEGO Star Wars III: The Clone Wars
ULUS10532,Rapala Pro Bass Fishing
ULUS10533,Cabela’s North American Adventures
ULUS10534,Despicable Me: The Game
ULUS10538,DJMax Portable 3
ULUS10539,Knights in the Nightmare
ULUS10540,The Legend of Heroes: Trails in the Sky
ULUS10541,Madden NFL 11
ULUS10543,WWE Smackdown vs. Raw 2011
ULUS10544,WWE Allstars
ULUS10548,Tron: Evolution
ULUS10550,FIFA Soccer 11 PSP®
ULUS10551,Ys: Seven
ULUS10552,NBA 2K11
ULUS10554,Pro Evolution Soccer 2011
ULUS10558,Ys: The Oath In Felghana
ULUS10559,Zettai Hero Project: Unlosing Ranger Vs. Darkdeath Evilman
ULUS10560,Final Fantasy IV: The Complete Collection
ULUS10561,Prinny 2: Dawn of Operation Panties, Dood!
ULUS10562,Jikandia: The Timeless Land
ULUS10563,Gods Eater: Burst
ULUS10565,Tactics Ogre: Let Us Cling Together
ULUS10566,Dissidia 012: Duodecim Final Fantasy
ULUS10567,The 3rd Birthday
ULUS10572,Phantom Brave: The Hermuda Triangle
ULUS10575,LEGO Pirates of the Caribbean
ULUS10576,Fate/Extra
ULUS10577,Hakuoki: Demon Of The Fleeting Blossom
ULUS10579,BlazBlue: Continuum Shift II
ULUS10580,LEGO Harry Potter: Years 5-7
ULUS10581,Madden NFL 12
ULUS10582,Naruto Shippuden: Ultimate Ninja Impact
ULUS10583,FIFA 12
ULUS10584,Shin Megami Tensei: Persona 2 – Innocent Sin
ULUS10585,NBA 2K12
ULUS10591,Major League Baseball 2K12
ULUS10592,Gungnir
ULUS10593,Growlanser – Wayfarer Of Time
ULUS10594,Ragnarok Tactics
ULUS10595,FIFA Soccer 13
ULUS10598,NBA 2K13
ULUS10651,Hakuoki: Warriors of the Shinsengumi
ULUS10652,Sweet Fuse: At Your Side
ULUS10654,Pro Evolution Soccer 2014
ULUS10655,FIFA 14
NPUF30007,Bomberman ’94 (PC Engine)
NPUF30008,Alien Crush (PC Engine)
NPUF30009,Neutopia (PC Engine)
NPUF30010,Super Star Soldier (PC Engine)
NPUF30011,Dungeon Explorer (PC Engine)
NPUF30012,Bonk’s Adventure (PC Engine)
NPUF30013,World Sports Competition (PC Engine)
NPUF30014,New Adventure Island (PC Engine)
NPUF30015,Victory Run (PC Engine)
NPUF30016,Soldier Blade (PC Engine)
NPUH10059,Fatal Fury: The King of Fighters (NeoGeo Station)
NPUH10060,Alpha Mission II (NeoGeo Station)
NPUH10061,Art of Fighting (NeoGeo Station)
NPUH10062,Metal Slug (NeoGeo Station)
NPUH10063,Samurai Shodown (NeoGeo Station)
NPUH10064,Baseball Stars Professional (NeoGeo Station)
NPUH10065,The King of Fighters ’94 (NeoGeo Station)
NPUH10066,Super Sidekicks (NeoGeo Station)
NPUH10067,League Bowling (NeoGeo Station)
NPUH10068,Magician Lord (NeoGeo Station)
NPUH10078,Baseball Stars 2 (NeoGeo Station)
NPUH10083,Shock Troopers (NeoGeo Station)
NPUH10085,The King of Fighters ’95 (NeoGeo Station)
NPUH10086,World Heroes (NeoGeo Station)
NPUH10119,The King of Fighters ’96 (NeoGeo Station)
NPUH10120,Metal Slug 2 (NeoGeo Station)
NPUX80404,Smashbreak (Minis)
NPUX80405,Earthshield (Minis)
NPUX80406,Legend of Kunoichi (Minis)
NPUX80407,Digi-Tiles (Minis)
NPUX80420,Homerun Hitter (Minis)
NPUX80421,Sheep Defense (Minis)
NPUX80422,Tonzurakko (Minis)
NPUX80423,Finger Connection (Minis)
NPUX80424,Sweet Reversi (Minis)
NPUX80431,One Two Boat Racing (Minis)
NPUX80432,Love Cupid (Minis)
NPUX80433,Charge! Tank Squad! (Minis)
NPUX80434,Ramen Heaven (Minis)
NPUX80435,Pinball Duel (Minis)
NPUX80436,Quiz Animania (Minis)
NPUX80438,Music Quiz (Minis)
NPUX80439,Shogi (Minis)
NPUX80448,Pile Up! Bakery (Minis)
NPUX80449,Busy Sweets Factory (Minis)
NPUX80453,Influence (Minis)
NPUZ00001,Sudoku (Minis)
NPUZ00002,Bowling 3D (Minis)
NPUZ00003,Tetris (Minis)
NPUZ00004,Lets Golf (Minis)
NPUZ00005,Hero of Sparta (Minis)
NPUZ00006,Mahjongg Artifacts: Chapter 2 (Minis)
NPUZ00007,Bubble Trubble (Minis)
NPUZ00008,Alien Havoc (Minis)
NPUZ00009,Brainpipe (Minis)
NPUZ00010,Bloons (Minis)
NPUZ00011,Funky Punch (v2) (Minis)
NPUZ00013,Freekscape: Escape From Hell (Minis)
NPUZ00014,Fieldrunners (Minis)
NPUZ00015,Vempire (Minis)
NPUZ00016,Fortix (Minis)
NPUZ00017,Pinball Fantasies (Minis)
NPUZ00018,Yummi Yummi Cooking Jam (Minis)
NPUZ00020,Battle Poker (Minis)
NPUZ00021,Blast Off (Minis)
NPUZ00022,Echoes (Minis)
NPUZ00023,Aero Racer (Minis)
NPUZ00023,Rocket Racing (Minis)
NPUZ00024,Age Of Zombies (Minis)
NPUZ00025,Zombie Tycoon (Minis)
NPUZ00027,D-Cube Planet (Minis)
NPUZ00028,Circles (Minis)
NPUZ00029,Stand O’Food (Minis)
NPUZ00030,Kahoots (Minis)
NPUZ00031,BreakQuest (Minis)
NPUZ00033,Monopoly (Minis)
NPUZ00034,Spot the Differences! (Minis)
NPUZ00036,Dynogems (Minis)
NPUZ00037,Heracles Chariot Racing (Minis)
NPUZ00038,Spaceball Revolution (Minis)
NPUZ00040,Deflector (Minis)
NPUZ00041,Route 66 (Minis)
NPUZ00042,Wackylands Boss (Minis)
NPUZ00043,Car Jack Streets (Minis)
NPUZ00044,Flick Fishing (Minis)
NPUZ00045,Widget’s Odyssey (Minis)
NPUZ00046,Dracula: Undead Awakening (Minis)
NPUZ00047,YetiSports (Minis)
NPUZ00048,Red Bull X-Fighters (Minis)
NPUZ00049,Tehra: Dark Warrior (Minis)
NPUZ00052,Young Thor (Minis)
NPUZ00054,Pinball Dreams (Minis)
NPUZ00055,Widget’s Odyssey 2 (Minis)
NPUZ00056,The Terminator (Minis)
NPUZ00057,Monsters (Probably) Stole My Princess (Minis)
NPUZ00058,Supermarket Mania (Minis)
NPUZ00060,Retro Cave Flyer (Minis)
NPUZ00061,Mahjong Solitaire (Minis)
NPUZ00062,Mahjongg Artifacts (Minis)
NPUZ00063,The Mystery of the Crystal Portal (Minis)
NPUZ00064,Reef Aquarium (Minis)
NPUZ00065,Sneezies (Minis)
NPUZ00066,Vector TD (Minis)
NPUZ00067,Hello Flowerz (Minis)
NPUZ00068,VT Tennis (Minis)
NPUZ00069,Alien Zombie Death (Minis)
NPUZ00071,NormalTanks (Minis)
NPUZ00072,Hysteria Project (Minis)
NPUZ00073,Telegraph Crosswords (Minis)
NPUZ00074,Telegraph Sudoku & Kakuro (Minis)
NPUZ00075,Robin Hood: The Return of Richard (Minis)
NPUZ00076,JellyCar 2 (Minis)
NPUZ00077,Urbanix (Minis)
NPUZ00078,5-in-1 Arcade Hits (Minis)
NPUZ00080,Cubixx (Minis)
NPUZ00081,Jewel Keepers: Easter Islands (Minis)
NPUZ00082,Best Of Solitaire (Minis)
NPUZ00083,Burnin’ Rubber (Minis)
NPUZ00084,Express Raider (Minis)
NPUZ00086,5 in 1 Solitaire (Minis)
NPUZ00087,Beam’em Up (Minis)
NPUZ00090,HISTORY Egypt – Engineering an Empire (Minis)
NPUZ00091,HISTORY Ice Road Truckers (Minis)
NPUZ00092,Stellar Attack (Minis)
NPUZ00093,Gold Fever (Minis)
NPUZ00094,Rocks N’ Rockets (Minis)
NPUZ00095,Vibes (Minis)
NPUZ00097,Arcade Darts (Minis)
NPUZ00098,Apache Overkill (Minis)
NPUZ00099,Pallurikio (Minis)
NPUZ00103,Arcade Air Hockey & Bowling (Minis)
NPUZ00104,4×4 Jam (Minis)
NPUZ00108,Fly Fu (Minis)
NPUZ00109,Ace Armstrong Vs. The Alien Scumbags! (Minis)
NPUZ00110,Actual Crimes: Jack The Ripper (Minis)
NPUZ00111,Shapo (Minis)
NPUZ00112,Caterpillar (Minis)
NPUZ00113,Panda Craze (Minis)
NPUZ00114,Arctic Adventures: Polars Puzzles (Minis)
NPUZ00115,Archibald’s Adventures (Minis)
NPUZ00116,Arcade Essentials (Minis)
NPUZ00118,Carnivores: Dinosaur Hunter (v2) (Minis)
NPUZ00118,Carnivores: Dinosaur Hunters (v3) (Minis)
NPUZ00119,Angry Birds (Minis)
NPUZ00120,Blimp: The Flying Adventures (Minis)
NPUZ00121,Forest Puzzle (Minis)
NPUZ00122,Mini Squadron (Minis)
NPUZ00123,Bashi Blocks (Minis)
NPUZ00125,PAC-MAN Championship Edition (Minis)
NPUZ00126,Dr. Maybee And The Adventures Of Scary Girl (Minis)
NPUZ00127,Fort Commander: King’s Gambit (Minis)
NPUZ00128,Fort Commander II: Counterattack (Minis)
NPUZ00129,Who’s That Flying?! (Minis)
NPUZ00131,Coconut Dodge (Minis)
NPUZ00132,Zenonia (Minis)
NPUZ00133,Alpha Mission (Minis)
NPUZ00136,HAL 21 (Minis)
NPUZ00141,Marvin’s Maze (Minis)
NPUZ00143,Ozma Wars (Minis)
NPUZ00146,Sasuke vs Commander (Minis)
NPUZ00147,T.N.K. III (Minis)
NPUZ00148,Vanguard (Minis)
NPUZ00149,Vanguard II (Minis)
NPUZ00151,Athena (Minis)
NPUZ00152,Bermuda Triangle (Minis)
NPUZ00153,Chopper I (Minis)
NPUZ00155,Gang Wars (Minis)
NPUZ00156,Gold Medalist (Minis)
NPUZ00157,Guerrilla War (Minis)
NPUZ00158,Ikari III: The Rescue (Minis)
NPUZ00159,Ikari Warriors (Minis)
NPUZ00160,P.O.W.: Prisoners of War (Minis)
NPUZ00162,Prehistoric Isle (Minis)
NPUZ00163,Psycho Soldier (Minis)
NPUZ00166,Touchdown Fever (Minis)
NPUZ00169,The Next Space (Minis)
NPUZ00170,SAR – Search And Rescue (Minis)
NPUZ00172,Street Smart (Minis)
NPUZ00173,Time Soldiers (Minis)
NPUZ00174,Ikari Warriors 2: Victory Road (Minis)
NPUZ00176,3D Twist & Match (Minis)
NPUZ00177,Pix’n Love Rush (Minis)
NPUZ00178,Age of Hammer Wars (Minis)
NPUZ00179,N.O.V.A. (Minis)
NPUZ00180,Family Games: Pen & Paper Edition (Minis)
NPUZ00182,Aquattack! (Minis)
NPUZ00184,Top Gun (Minis)
