NPJJ00063,Zipangu Jima: Unmei wa Saikoro ga Kimeru!?
NPJJ00064,Puzzle Mania 2
NPJJ00065,Sanvein (SuperLite 1500 Series)
NPJJ00067,Cotton Original (SuperLite 1500 Series)
NPJJ00068,Armored Core
NPJJ00069,King’s Field
NPJJ00070,BOXER'S ROAD
NPJJ00071,The Adventure Of Little Ralph
NPJJ00072,AI Shogi Selection
NPJJ00073,Chiki Chiki Chicken (SuperLite 1500 Series)
NPJJ00074,Memorial * Series: Sunsoft Vol. 1: Ikki / Super Arabian
NPJJ00075,Memorial * Series: Sunsoft Vol. 2: Route-16 Turbo / Atlantis no Nazo
NPJJ00076,Shinsou Kaiten: Wanwan Umi Monogatari: Sanyo Pachinko Paradise DX
NPJJ00077,Gakkou Deatta Kowai Hanashi S
NPJJ00078,Prismaticallization
NPJJ00079,Sanyo Pachinko Paradise 5
NPJJ00080,ATHENA -Awakening from the ordinary life-
NPJJ00081,Arcade Hits: Sonic Wings Special
NPJJ00082,The Conveni 2: Zenkoku Chain Tenkai da!
NPJJ00083,King’s Field II
NPJJ00084,Echo Night
NPJJ00085,Memorial * Series: Sunsoft Vol. 3: Madoola no Tsubasa / Toukaidou Gojuusan Tsugi
NPJJ00086,Blue Breaker: Egao no Yakusoku
NPJJ00087,Azito
NPJJ00088,Shadow Tower
NPJJ00089,Armored Core: Project Phantasma
NPJJ00090,Ganbare Goemon Uchuu Kaizoku Akogingu
NPJJ00091,Michinoku Hitou Koimonogatari Kai
NPJJ00092,Hanafuda Graffiti: Koi Koi Monogatari
NPJJ00093,Sanyo Pachinko Paradise
NPJJ00094,Sanyo Pachinko Paradise 2
NPJJ00095,King’s Field III
NPJJ00096,Echo Night #2: Nemuri no Shihaisha
NPJJ00098,Hana to Ryuu
NPJJ00099,Neo Atlas
NPJJ00100,Sanyo Pachinko Paradise 3
NPJJ00101,Sanyo Pachinko Paradise 4  (req. OFW 3.72)
NPJJ00101,Sanyo Pachinko Paradise 4  (req. OFW 6.60)
NPJJ00102,Wizard’s Harmony
NPJJ00104,Fuuraiki
NPJJ00105,Armored Core: Master of Arena
NPJJ00107,Frisky Tom
NPJJ00108,Arcade Hits: Moon Cresta
NPJJ00109,Blue Breaker Burst: Bishou o Anata to
NPJJ00111,Poy Poy
NPJJ00118,Blue Breaker Burst: Egao no Asuni
NPJJ00120,Falcata
NPJJ00121,Marī no Atorie – Zāruburugu no Renkinjutsushi (Atelier Marie – The Alchemist of Salburg)
NPJJ00124,Card II (SuperLite 1500 Series)
NPJJ00125,Hanafuda II (SuperLite 1500 Series)
NPJJ00126,Baroque
NPJJ00127,Arcade Hits: Magical Drop
NPJJ00128,Robin Lloyd no Bouken
NPJJ00129,Biohazard 2  (DateCode 2010-01-13)
NPJJ00129,Biohazard 2  (DateCode 2007-12-19)
NPJJ00130,Dezaemon Plus!  (req. OFW 3.80)
NPJJ00130,Dezaemon Plus!  (req. OFW 6.60)
NPJJ00131,Pro Mahjong Kiwame Plus  (req. OFW 6.61)
NPJJ00131,Pro Mahjong Kiwame Plus  (req. OFW 3.80)
NPJJ00131,Pro Mahjong Kiwame Plus  (req. OFW 6.60)
NPJJ00132,Athena no Kateiban: Family Game  (req. OFW 3.93)
NPJJ00132,Athena no Kateiban: Family Game  (req. OFW 6.60)
NPJJ00133,Kuroi Hitomi no Noir: Cielgris Fantasm (Noir Yeux Noire)
NPJJ00134,Block Kuzushi Kowashite Help!
NPJJ00135,Big League Slugger Baseball
NPJJ00136,Extreme Go-Kart Racing
NPJJ00137,Money Idol Exchanger  (req. OFW 3.90)
NPJJ00137,Money Idol Exchanger  (req. OFW 6.61)
NPJJ00137,Money Idol Exchanger  (req. OFW 6.60)
NPJJ00138,Meru Purana
NPJJ00139,Nobunaga Hiroku: Ge-Ten no Yume  (req. OFW 6.60)
NPJJ00139,Nobunaga Hiroku: Ge-Ten no Yume  (req. OFW 3.90)
NPJJ00140,Ide Yosuke no Mahjong Kyoshitsu  (req. OFW 3.90)
NPJJ00140,Ide Yosuke no Mahjong Kyoshitsu  (req. OFW 6.61)
NPJJ00140,Ide Yosuke no Mahjong Kyoshitsu  (req. OFW 6.60)
NPJJ00141,Baroque Syndrome
NPJJ00142,Family Bowling
NPJJ00143,Kawa no Nushi Tsuri: Hikyou o Motomete
NPJJ00144,Gakkou o Tsukurou!!
NPJJ00145,Metal Gear Solid (req. OFW 3.90)
NPJJ00145,Metal Gear Solid (req. OFW 3.93)
NPJJ00146,Dezaemon Kids!  (req. OFW 6.60)
NPJJ00146,Dezaemon Kids!  (req. OFW 3.90)
NPJJ00146,Dezaemon Kids!  (req. OFW 6.61)
NPJJ00147,Pro Mahjong Kiwame Plus II
NPJJ00148,Erī no Atorie – Zāruburugu no Renkinjutsushi 2 (Atelier Elie – The Alchemist of Salburg 2)
NPJJ00149,Master of Monsters: Disciples of Gaia
NPJJ00150,Magical Drop F
NPJJ00151,Arcade Hits: Shienryu
NPJJ00152,Pukunpa: Joshikouki No Houkago  (req. OFW 6.61)
NPJJ00152,Pukunpa: Joshikouki No Houkago  (req. OFW 3.95)
NPJJ00152,Pukunpa: Joshikouki No Houkago  (req. OFW 6.60)
NPJJ00153,Pro Mahjong Kiwame Tengensenhen
NPJJ00154,BLOODY ROAR
NPJJ00156,Nectaris: Military Madness
NPJJ00157,Policenauts
NPJJ00158,Wizard’s Harmony 2
NPJJ00159,Lord Monarch: Shin Gaia Oukokuki
NPJJ00160,Bomberman Party Edition
NPJJ00161,Tamamayu Monogatari (PlayStation the Best)  (req. OFW 6.60)
NPJJ00161,Tamamayu Monogatari (PlayStation the Best)  (req. OFW 3.95)
NPJJ00162,Yamasa Digi Guide: New Pulsar R
NPJJ00163,Yamasa Digi Guide: Hyper Rush
NPJJ00164,Yamasa Digi Guide: M-771
NPJJ00165,Acid
NPJJ00166,Xenogears
NPJJ00167,Einhander
NPJJ00168,Astronoka
NPJJ00169,Rakugaki Showtime
NPJJ00170,Raystorm
NPJJ00171,FIGHTERS' IMPACT
NPJJ00172,Brave Fencer Musashiden
NPJJ00173,Ehrgeiz
NPJJ00174,Wizard’s Harmony R
NPJJ00175,Yamasa Digi Selection
NPJJ00176,Yamasa Digi Selection 2
NPJJ00177,Project GaiaRay
NPJJ00178,b.l.u.e. Legend of water
NPJJ00179,Aquanaut no Kyuujitsu: Memories of Summer 1996
NPJJ00180,Raycrisis  (req. OFW 4.40)
NPJJ00180,Raycrisis  (req. OFW 6.60)
NPJJ00183,Grille Logic
NPJJ00184,Chocobo Racing
NPJJ00185,Chocobo Stallion
NPJJ00186,Dice de Chocobo
NPJJ00187,ARKANOID RETURNS
NPJJ00188,Aquanaut no Kyuujitsu 2
NPJJ00188,Aquanaut no Kyuujitsu 2
NPJJ00189,Soukaigi
NPJJ00190,Magical Date: Doki Doki Kokuhaku Daisakusen
NPJJ00191,Beltlogger 9
NPJJ00193,Seirei Shoukan: Princess of Darkness
NPJJ00194,G Darius
NPJJ00195,Bomberman Fantasy Race
NPJJ00196,Carom Shot 2
NPJJ00197,Blockids  (req. OFW 4.05)
NPJJ00197,Blockids  (req. OFW 6.61)
NPJJ00197,Blockids  (req. OFW 6.60)
NPJJ00198,Psychic Force 2
NPJJ00199,Puzzle Bobble 2
NPJJ00200,Dekiru! Game Center
NPJJ00201,Weltorv Estleia
NPJJ00202,Puchi Carat
NPJJ00203,Kouyasai
NPJJ00204,Bomberman Land
NPJJ00205,FISH EYES
NPJJ00206,SPACE INVADERS
NPJJ00207,Building Crush!
NPJJ00208,Yamasa Digi
NPJJ00209,RAY TRACERS
NPJJ00210,Gensou no Artemis: Actress School Mystery Adventure
NPJJ00211,Tsuukai!! Slot Shooting
NPJJ00212,Front Mission Alternative
NPJJ00213,Theme Park
NPJJ00216,Soviet Strike
NPJJ00217,Touki Denshou: Angel Eyes
NPJJ00218,Front Mission 1st
NPJJ00219,LAND MAKER
NPJJ00221,Populous: The Beginning
NPJJ00223,Culdcept Expansion Plus
NPJJ00224,SaGa Frontier
NPJJ00225,Bushido Blade
NPJJ00226,Chaos Break
NPJJ00227,Tecmo's Deception: Invitation to Darkness
NPJJ00228,Front Mission 2
NPJJ00229,SaGa Frontier 2
NPJJ00230,Puzzle Bobble 3 DX
NPJJ00231,Dead or Alive
NPJJ00232,Front Mission 3
NPJJ00233,Bushido Blade 2
NPJJ00234,Pop 'n' Pop
NPJJ00235,Kagero
NPJJ00236,Brigandine: Grand Edition
NPJJ00237,Bokujou Monogatari Harvest Moon
NPJJ00238,Bokujou Monogatari Harvest Moon For Girl
NPJJ00239,Biohazard 3 Last Escape  (DateCode 2010-01-06)
NPJJ00239,Biohazard 3 Last Escape  (DateCode 2008-12-11)
NPJJ00240,Monster Farm Jump
NPJJ00242,Deception III: Dark Delusion
NPJJ00244,Farland Story: Yottsu no Fuuin
NPJJ00245,Lunar Wing: Toki o Koeta Seisen
NPJJ00246,Reel Fishing II
NPJJ00247,Tenshi Doumei (Angel Alliance)
NPJJ00248,Gakkou o Tsukurou!! 2
NPJJ00249,Knight&Baby
NPJJ00250,Fire Pro Wrestling G  (req. OFW 5.02)
NPJJ00250,Fire Pro Wrestling G  (req. OFW 6.60)
NPJJ00251,Urawaza Mahjong: Korette Tenwatte Yatsukai
NPJJ00252,Cho Aniki
NPJJ00253,Neo Atlas II
NPJJ00254,Yamasa Digi Guide: Umekagetsu R
NPJJ00255,Advanced V.G.
NPJJ00256,Assault Suits Valken 2
NPJJ00257,Carnage Heart EZ: Easy Zapping
NPJJ00258,Himitsu Sentai Metamor V Deluxe
NPJJ00259,Grandia
NPJJ00260,Final Fantasy VII International
NPJJ00261,Gakkou o Tsukurou!! Kouchou Sensei Monogatari
NPJJ00262,Tilk: Aoi Umi kara Kita Shoujo
NPJJ00263,Lunatic Dawn Odyssey
NPJJ00264,Langrisser I & II
NPJJ00265,Final Fantasy Tactics
NPJJ00266,Zeus: Carnage Heart Second
NPJJ00267,Arubarea no Otome: Uruwashi no Seishikitachi
NPJJ00268,Mahoutsukai ni Naru Houhou
NPJJ00269,Dream Generation
NPJJ00270,Final Fantasy
NPJJ00271,Zeus II: Carnage Heart
NPJJ00272,Farland Saga: Toki no Michishirube
NPJJ00273,Final Fantasy II
NPJJ00275,Rockman  (req. OFW 6.60)
NPJJ00275,Rockman  (req. OFW 5.50)
NPJJ00276,Tecmo Stackers
NPJJ00277,GaiaSeed
NPJJ00278,TALL TWINS TOWER
NPJJ00280,Arcade Hits: Outlaws Of The Lost Dynasty
NPJJ00281,Saikyo Todai Shogi
NPJJ00282,Vagrant Story
NPJJ00283,Dragon Knights Glorious
NPJJ00284,Shisha no Yobu Tachi
NPJJ00285,Tetsuman Special: Honkaku Mahjong
NPJJ00286,Rapid Angel
NPJJ00287,Rockman 2: Dr. Wily no Nazo  (req. OFW 5.50)
NPJJ00287,Rockman 2: Dr. Wily no Nazo  (req. OFW 6.60)
NPJJ00288,Side Pocket 3
NPJJ00289,Nippon Pro Mahjong Renmei Kounin: Doujou Yaburi
NPJJ00290,Rubbish Blazon
NPJJ00291,Epica Stella
NPJJ00292,1 on 1
NPJJ00293,Theme Aquarium  (req. OFW 6.60)
NPJJ00293,Theme Aquarium  (req. OFW 6.00)
NPJJ00294,Final Fantasy VIII
NPJJ00295,Mikagura Shoujo Tanteidan
NPJJ00296,Catch! Kimochi Sensation
NPJJ00297,Nippon Pro Mahjong Renmei Kounin: Shin Tetsuman
NPJJ00298,Lucifer Ring
NPJJ00299,Theme Hospital
NPJJ00300,Gochachiru
